age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												OY	1		POINT		667.3	1401.9	2089.2	199.8	202	1207.3	46.509	46.479	46.569	0.09																638.4	1280.6	670.2	1412.5	668.4	1588.3	655.8	1734.4	658.4	1843.2	6	660	1107	2072	61.44213	1	point	46.4741
												UW	1		MOVED		450.5	1094.2	2079	101.1	173	608.5	47.568	47.525	47.655	0.13																446.5	1064.5	454.5	1087.1	457.5	1041.3	455.9	1074.1	449.7	1089	6	499	1055	2241	72.3222	1	moved	47.5866
												AE	1		BACK		666.3	2061.7	2812.1	74.8	191.4	435.2	48.686	48.653	48.753	0.1																659.5	2040.9	667.1	2060.9	666.7	2058	662.5	2077.6	649.1	2139.8	4	657	1927	2519	3.1611	1	back	48.6849
												AH	1		MOTHER		693.5	1114	2383.4	120.8	154.3	2556.8	49.711	49.684	49.764	0.08																697	1062.4	692.1	1119	653.9	1164.2	594.6	1190.3	536.9	1209.7	6	721	1073	2762	6.33121	1	mother	49.6991
												UW	1		TWO		413.6	1533	2507.2	123.5	588.9	1138.1	50.18	50.173	50.234	0.061																413.6	1533	425.4	1580.1	449.6	1592.5	452.4	1517.6	488	1558.1	6	427	1609	2609	73.0003	1	two	50.1963
												IH	1		SISTERS		483.6	1634.1	2535.9	62.3	146.7	281.5	50.364	50.344	50.404	0.06																482.4	1617.8	483.6	1635.4	483	1643.5	492.1	1641.9	511.8	1627.6	6	478	1631	2553	1.34231	1	sisters	50.3729
												AE	1		MAN		550.6	2037.3	2903.7	238.6	382	229	54.298	54.221	54.451	0.23																571	2127.2	547.2	2024.9	644.1	1922.2	639.5	1716.9	667.1	1659.1	5	611	2061	2884	3.4422	1	man	54.2931
												EY	1		EIGHTY		430.7	2015.1	2422.9	205	932.8	282.1	57.459	57.446	57.566	0.12																425.9	2104.7	412.2	1723.6	411.1	1589.4	406.5	1230.3	367.9	1179.2	6	427	2448	2961	21.14101	1	eighty	57.4883
												UW	1		TWO		414.8	1901	2747.2	263	362.5	706.7	57.869	57.846	58.086	0.24																399.2	1760.7	394.7	1570	403.5	1363.8	418	1158.7	424.3	1004.9	5	402	1683	2812	73.0003	1	two	57.9299
												AE	1		BACK		600.8	1865.9	3047.4	57.8	357.3	1384.4	59.2	59.157	59.287	0.13																589.4	1870.8	601.9	1870.1	609.3	1891.4	623	1868.9	663.8	1854.2	4	605	1716	2493	3.1611	1	back	59.2105
