age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												IY	1		EITHER		599.5	2739	3205.2	466.4	305.4	313.8	72.689	72.659	72.749	0.09																667.7	2846.5	592.7	2726.1	552.7	2599.9	505.2	2374	440.9	2077.6	4	573	2702	3223	11.33101	1	either	72.6912
												IY	0		BE		487.4	2631.3	3042.1	275.5	505.5	612.6	73.102	73.078	73.149	0.071																498.3	2486.5	484.6	2633.7	464.1	2664.2	458.1	2671.8	487.8	2632.5	5	448	2683	3126	12.0001	1	be	73.1231
												IY	2		NEONATAL		504.1	2789.9	3190.8	108.7	97.6	1148.3	73.339	73.299	73.419	0.12																492.9	2516.4	504	2791.3	500.3	2384.7	513	2078	560.2	2079	6	474	2758	3225	11.44242	1	neonatal	73.314
												EY	1		NEONATAL		658.2	2205.3	3064.9	128.1	233.1	585.4	73.599	73.579	73.689	0.11																657.7	2223.7	623.8	2360.6	588.9	2469.5	564.8	2527.9	538.6	2437.4	5	653	2164	3166	21.14141	1	(neo)natal	73.5907
												ER	1		NURSE		718.1	1804	2451.4	105.7	131.9	299.2	73.996	73.949	74.089	0.14																710.7	1815.8	717.9	1804.2	706.4	1793.4	675.8	1787.6	594.6	1874.4	5	705	1821	2514	94.6004	1	nurse	73.9724
												IY	2		PEDIATRIC		483.7	2790.5	3206	359.8	324	473.7	74.552	74.529	74.599	0.07																505.6	2697.4	479.2	2781.7	452.1	2715.9	422.8	2575.8	418.8	2331.3	4	464	2732	3240	11.14212	1	pediatric	74.563
												AE	1		PEDIATRIC		706.7	2212.1	3083.5	157.9	338	313.6	74.742	74.709	74.809	0.1																654.3	2301.5	713.7	2200.6	735.1	2103.7	738.9	2036.5	717.6	2017.7	4	726	2038	2694	3.14104	1	(pedi)atric	74.7647
												AA	1		SORRY		719.6	1635	2882.5	101	214.7	1164.5	79.912	79.875	79.985	0.11																690.8	1601.6	724.7	1639.4	749.4	1672	748.7	1684.9	738.2	1685.7	6	710	1639	3044	5.60031	1	sorry	79.9102
												AE	1		THAT		682.6	1933.8	2997.2	57.4	149.3	248.1	81.626	81.609	81.659	0.05																680.5	1907.5	683.4	1940.4	689	1983.6	688.8	2041.8	692.1	2081.3	5	672	1816	3124	3.1413	1	that	81.6032
												AO	1		BORN		668.2	967.1	2642.9	119.6	175.4	544.2	88.368	88.315	88.474	0.159																604.2	937.6	672.3	972.9	675	1020.3	668.9	1132.9	662.1	1297	6	681	984	2647	54.6001	1	born	88.3805
												AA	1		HARTFORD		789.4	1637.2	2037.4	90.4	198.5	2037.8	88.972	88.945	89.025	0.08																832	1601.2	786.4	1641.1	758.4	1688.2	733.5	1592.1	700.5	1518.8	6	914	1556	2253	44.60004	1	Hartford	88.9424
												AE	1		DAD		600.8	2304.7	3364.2	47.1	120.2	398.7	90.318	90.278	90.398	0.12																563.4	2348.7	605	2298.5	671.3	2242.6	733.4	2134.4	757.5	1997.5	4	592	2325	3245	3.1423	1	dad	90.3094
												AO	1		BORN		593.4	1014.4	2459.8	76.6	148.7	211.5	90.658	90.628	90.717	0.089																585.8	1020.3	596	1019.9	634.6	1108.9	657.8	1172.7	676.2	1251.5	5	685	1232	2358	54.6001	1	born	90.6976
												AE	1		DAD		655.1	2266	3352.7	83.5	168.5	276	94.882	94.829	94.989	0.16																628.2	2331	659.3	2249.6	719.1	2057.3	732.4	1864.7	677	1669.6	4	617	2311	3087	3.1423	1	dad	94.8587
												IY	1		MARINES		555.2	2269	2463.1	57.4	120.1	1050.2	95.569	95.529	95.649	0.12																561.7	2127.8	555.5	2287.7	573.7	2139.4	569.7	2408.7	558	2711.4	5	548	2755	3374	11.4427	1	(ma)rines	95.6167
												AY	1		MY		1095.1	1739.5	3186	223.6	137.8	420.3	101.957	101.916	102.356	0.44																1056.5	1793	793.8	2079.6	684.4	2415.6	563.7	2591.1	475.9	2696.2	4	1091	1748	3057	41.0002	1	my	101.9641
												AO	1		BORN		690.9	952.3	2586.7	61.4	75.9	226.7	104.953	104.913	105.033	0.12																658.1	926.1	693.4	956.8	716.4	1000.1	724.3	1100.7	719.4	1220.6	6	717	990	2576	54.6001	1	born	104.9705
												IY	1		BELIEVE		461.4	2241.8	3406.8	118.1	179.5	297.4	108.193	108.16	108.26	0.1																490.3	2078.2	457.7	2260	436.6	2372.4	428.2	2499.2	452.6	2495.7	4	427	2321	3102	11.3227	1	(be)lieve	108.2172
												EY	1		CAPE		560.7	2657.9	3502.2	209.5	280.8	732.9	108.418	108.39	108.509	0.119																559.3	2652.9	537.7	2668.5	495.1	2687.2	487.4	2527.4	592.8	2403.4	4	530	2570	3149	21.111	1	cape	108.4338
												AA	1		COD		943.4	1822.7	2696	110.4	151.2	1217.4	108.699	108.619	108.859	0.24																942.3	1864.4	944.5	1819.6	967.3	1807.7	929.4	1790.9	831.4	1758.2	5	966	1805	2780	5.142	1	cod	108.7341
												AE	1		GRANDMOTHER		692.3	2030.4	2684.7	225.5	339.9	603.1	110.477	110.444	110.544	0.1																679.3	1962.1	692.4	2039.3	695.8	2095.8	709.4	2034.8	709.7	1851.2	4	660	1945	2472	3.44285	1	grandmother	110.4957
												AH	2		GRANDMOTHER		679.9	1281.5	2612.3	127.3	110.8	859.6	110.664	110.644	110.704	0.06																673.5	1269.8	680.4	1283.3	675.2	1295.3	645.6	1300.5	608.3	1345.3	5	667	1262	2559	6.33121	1	(grand)mother	110.651
												AO	1		BORN		615.5	1030	2686.5	91.3	180.8	203.1	111.167	111.114	111.274	0.16																614.5	1008.5	615.3	1035.3	635.4	1115.7	659.4	1172.1	697.1	1219.6	5	615	1041	2670	54.6001	1	born	111.1743
												AW	1		SOUTH		918.5	1668.6	3045.7	88.5	173.8	311.4	113.174	113.143	113.292	0.149																917.5	1674.1	946.2	1566.3	940.9	1520.5	883.4	1505.9	784.3	1386.6	5	962	1529	2860	42.3313	1	south	113.2083
												AE	1		AND		634.6	2703.4	3399.7	162.5	171.7	564.2	115.853	115.716	116.126	0.41																712.9	2883.7	634.7	2669.5	670.1	1720.6	871.6	1889.8	719.4	1918.8	5	775	2958	3485	3.44203	1	and	115.7536
												AY	1		MY		1034.5	1749.3	2674.8	302.8	149.5	3082.4	117.498	117.428	117.788	0.36																1034.2	1757.3	947.4	2000.4	720.1	2266.6	579.3	2587.6	524.8	2702.9	5	1033	1670	2932	41.0002	1	my	117.4638
												AH	1		OTHER		907.2	1450.5	2861.1	80.8	113.7	350.2	118.761	118.721	118.841	0.12																899.8	1506.8	908.9	1455.6	868.1	1492.9	768.2	1503.4	702.3	1511.8	5	888	1511	2880	6.33101	1	other	118.7772
												OW	1		BOTH		652.6	1105.7	2630	106.3	116.6	268.3	120.513	120.494	120.594	0.1																655.5	1106.1	682.3	1100.5	672.9	1086.2	645.3	1071.6	614.5	1075.8	5	683	1104	2801	62.3311	1	both	120.526
												AO	1		MALL		959.4	1285	2640.9	213.8	235.2	1288.2	143.327	143.254	143.474	0.22																994.8	1185.8	960	1287.9	991.8	1284.9	980.1	1237.2	901.6	1164.4	6	1019	1329	3346	53.5422	1	mall	143.3713
												OW	1		GO		596.9	992.1	2704.1	147.6	132.5	658.3	144.608	144.583	144.733	0.15																600.8	979.4	608.3	975.7	589.4	993	535.1	1001.8	509.9	1092.1	6	601	992	3081	62.0006	1	go	144.6483
												EH	1		THERE		699.6	1890.9	2455.9	77	197.6	393.8	144.933	144.803	145.193	0.39																693.6	2072	696.3	1884.4	673.5	1840.5	632.2	1800.1	608	1834.2	5	692	2105	3172	24.6003	1	there	144.8584
