age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AH	1		MOTHER		689.1	1143.7	2664.2	88.5	76.1	605	109.664	109.641	109.711	0.07																714.4	1138.2	684.2	1143.6	609.6	1140.5	538.3	1150.3	481.2	1167.4	5
												AH	1		FROM		642	1258	1933.1	85.6	97.5	899.1	110.008	109.971	110.081	0.11																634.6	1231.6	641.5	1259.6	636.8	1272.2	616.8	1221.2	575.6	1210.6	6
												AO	1		BORN		608.6	846.3	2601	157.8	505.2	513.5	110.232	110.192	110.312	0.12																585.8	800.6	613.3	851.9	626.1	923	610.8	999.8	599.4	1098.7	5
												EH	1		AREA		543.9	1782.1	2353.8	58.4	154.7	300.4	110.848	110.822	110.901	0.079																534	1815.5	544.5	1776.1	544.4	1742	543.8	1705.9	542.5	1688.9	6
												AH	0		AREA		554.1	1774.4	2552.4	26.6	197.6	365.7	111.025	110.991	111.092	0.101																551.1	1773.2	554.4	1774.2	557.3	1735.7	570.3	1643.8	547.5	1508.1	5
												AA	1		FATHER		846	1375.2	2754.4	28.6	144.7	195.5	111.383	111.349	111.45	0.101																833	1320.7	846.2	1378.4	824.8	1197.6	741.8	1201.6	613.7	1335.7	6
												AA	1		ADOPTED		820.1	1562.7	2883.3	43.9	178	459.5	111.843	111.78	111.97	0.19																675.1	1552.2	827	1561.1	828.5	1527	837.7	1468.3	790.1	1448.9	5
												AH	0		ADOPTED		483.2	1514.6	2670.1	77.9	511.2	682.9	112.077	112.06	112.11	0.05																476.9	1496.8	483.2	1514.6	495.2	1588.9	502.8	1619.4	509.5	1620.5	5
												AW	1		OUT		758	1539.8	2734.5	58	140.9	561.5	112.162	112.13	112.259	0.129																732.4	1545.1	783.2	1530.9	792.3	1530.5	781.1	1534.3	739.8	1527.8	5
												AA	1		ROCHESTER		779.3	1588.6	2951.5	73	165.4	331.5	112.467	112.42	112.56	0.14																786.7	1544	773.5	1588.7	722.2	1623.5	632.7	1630.2	602	1695	5
												EH	2		ROCHESTER		654.4	1629	3039.8	87.5	163.1	560.8	112.683	112.65	112.75	0.1																617.7	1622.6	658.2	1632.6	674.3	1642.4	655.6	1627.9	713.5	1742	5
												AH	1		BUT		710.5	1399.3	2770.9	102.8	76.7	326.4	113.066	113	113.199	0.199																620.3	1318.4	715.9	1407.8	712.6	1475.4	711.3	1552.6	697	1603.7	5
												AH	0		HIS		463.9	1645.1	2592.3	34.9	531.9	652.9	113.437	113.41	113.49	0.08																471.1	1734.1	463.5	1636.9	459.5	1568.2	452.4	1647	450	1688.6	5
												AA	1		ADOPTED		807.1	1598.2	2896.8	40.8	205.7	426	114.017	113.97	114.11	0.14																735.7	1658.4	809.6	1589.6	807	1517.8	774.4	1391.8	710.1	1469.1	5
												EH	1		PARENTS		661.3	1718.8	2234.6	179.1	157.8	247.5	114.36	114.33	114.42	0.09																652	1723.9	665.9	1719.8	682.1	1724	641.9	1714.6	619.8	1691.1	6
												EY	1		THEY		513.2	1812	2816.9	139.1	338.6	199.6	114.663	114.65	114.8	0.15																506.4	1915.3	465.2	2021.9	454.4	2033.8	422.5	1834.4	420.3	1711.8	5
												AY	1		MY		677.9	1553.7	3082.7	232.1	454.8	345.4	117.065	117.043	117.104	0.061								m								652.9	1557	677.7	1554.1	661.4	1556.6	604.3	1572.2	562	1567.8	5
												AH	0		PARENTS		548.2	1675.3	1982.5	173.8	105.8	568.4	117.251	117.234	117.284	0.05																555.8	1669.1	545.8	1677.4	531.4	1694.3	523.3	1694.2	515.5	1684.9	6
												EH	1		MET		670.5	1568.6	2310.8	135.1	164.5	1881.3	117.481	117.464	117.514	0.05																670.5	1541.5	670.5	1568.6	640	1546.5	603.9	1557.1	563.3	1558.2	6
												AE	1		THAT		662.5	1704.9	2908.5	91.7	116.2	1140.9	117.667	117.623	117.754	0.131																627.2	1703.4	666.5	1703.5	685	1674.4	655.7	1588.1	629.3	1479.8	5
												EY	1		WAY		555	1436.4	2522.7	78.9	178.2	1175.6	117.886	117.873	117.924	0.051																555	1436.4	549.2	1455.4	536	1479.5	523.6	1509.7	536.4	1553.4	6
												AY	1		I		698.6	1626.9	2667.9	76.4	102.8	453.6	121.491	121.504	121.574	0.07								s								691.4	1691.9	684.3	1724	649.4	1748.5	591.3	1769.8	515.6	1759.7	5
												OW	1		KNOW		627	1438.1	2551.3	52	112.2	546.7	121.654	121.614	121.983	0.369																638.4	1305.6	626.8	1199.1	591.8	1126.9	532	1078.7	488.6	953.4	5
												AY	1		MY		694.1	1564	2508.9	212.8	163.2	793.4	122.316	122.318	122.369	0.051								m								654.6	1562.1	612.5	1542	563.3	1517.8	498.3	1435.2	455.5	1371.6	6
												EY	1		GREAT		552.7	1694.7	2176.6	79.5	142.4	287.7	122.491	122.459	122.579	0.12																549.9	1671.5	539.3	1671.7	481.8	1607.8	444.5	1382.8	406.5	1322.1	6
												AE	1		GRANDPARENTS		583.4	1773.7	2709.6	101.8	188.9	410	122.772	122.739	122.839	0.1																569.4	1726.5	585.2	1776.8	589.8	1791.9	582	1785.1	580.5	1717.6	5
												EH	2		GRANDPARENTS		603.6	1775.7	2679.8	160.7	239.9	677.9	123.005	122.939	123.138	0.199																593.6	1805.9	601.9	1768.4	591.6	1751.2	580.5	1710.1	579.5	1681.1	4
												EY	1		STRAIGHT		529.4	2014.4	2546.4	132.4	332.3	502.4	123.743	123.708	123.779	0.071																490.1	1864.8	514.2	1947.9	529.4	2014.4	524.4	2020.8	511.9	2008.8	4
												AO	1		OFF		695.5	1365.8	2491.4	44.9	89.9	299.5	123.845	123.809	123.918	0.109																671.7	1430.3	698	1358.2	714.2	1282.1	705.4	1236.6	683.9	1203.5	5
												OW	1		BOAT		580.2	1133.4	2610.9	189.4	156.2	153.2	124.161	124.139	124.299	0.16																597.7	1156.1	598.2	1167.6	588.2	1126.7	569.6	1034.4	540.6	937.3	5
												IH	1		ITALY		531.4	1790.6	2698.3	63.3	100.5	200.4	125.225	125.202	125.272	0.07																536.3	1792.1	530.9	1789.4	526.9	1783	521.6	1775.1	513.8	1766	5
												IY	0		ITALY		439.7	1808.9	2634	146.5	275.7	385	125.485	125.452	125.551	0.099																469.6	1715.3	436.7	1805.3	417.3	1762.5	423.8	1605.4	471	1556.1	6
												AY	1		MY		719.6	1496.7	2440.3	85.9	76.5	220.4	126.397	126.403	126.454	0.051								s								693.4	1579.5	662.7	1615.7	619.3	1627.2	557.6	1564	524.6	1536.7	6
												AE	1		GRANDPARENTS		716.8	1825.6	2392.3	176.5	180.4	378	126.614	126.574	126.694	0.12																669.5	1736.6	718.4	1834.2	718.7	1910.3	714.2	1929	700	1906.1	5
												EH	2		GRANDPARENTS		628.6	1720.2	1987.3	93.8	153	366.2	126.841	126.794	126.934	0.14																572.2	1672.4	633.2	1719.5	651.3	1714.5	640	1699.9	602.5	1687.2	6
												AH	0		GRANDPARENTS		663.2	1748.6	2299.2	228.8	98.2	778.4	126.98	126.963	127.014	0.051																662.3	1743.9	663.4	1749.6	659.4	1752	645.8	1748.8	633	1745	5
												AA	1		ARE		745.2	1301.8	2666.4	74	124.2	98.2	128.279	128.219	128.399	0.18																729.9	1334.8	747.3	1298.7	756.2	1311.5	780.5	1357.3	775.6	1446	5
												AH	0		BEEN		655.7	1702	2467.1	89.9	64.3	215.8	130.087	130.064	130.134	0.07																643.2	1682.1	657.3	1706.1	673.4	1719.7	681.7	1720.2	656.5	1718.1	5
												UW	1		UTICA		373.2	1830	2481.2	124.1	475.4	352.3	130.341	130.324	130.374	0.05																373.7	1828.8	373.2	1830	375	1853.1	381.1	1881.2	389.6	1913.2	5
												AH	0		UTICA		553.9	1467.8	2538.7	100.9	159.5	288.8	130.531	130.514	130.564	0.05																549.2	1479.8	553.9	1467.8	557	1450	549.5	1426.1	533.1	1406.7	5
												AY	1		LIFE		666	1307.2	2909.7	127.4	89.7	702.5	130.941	130.944	131.044	0.1																638	1577.3	578.7	1717.7	516	1799.6	489.5	1834.2	472.4	1793.1	5
												AY	1		I		616.5	1561.9	2534.4	142.5	273.5	677.2	131.148	131.134	131.203	0.069								s								613.6	1545.4	602.1	1593.5	580.3	1635.3	562	1665.5	548.4	1690.9	5
												EH	1		EVER		579.3	1400.4	2205.4	92.3	66.7	281.8	132.202	132.179	132.249	0.07																568.1	1401.9	579.1	1398.6	569.3	1380.4	551.2	1347.4	523.5	1309.5	6
												UW	1		MOVED		489	934.3	2013.3	272.7	677.4	697.3	132.522	132.499	132.569	0.07																484.7	979.4	490.9	924.5	497.5	933.5	509.8	1096.8	545.6	1388.6	6
												AY	1		HIGHSCHOOL		801.4	1498	2590.8	109.5	162.3	253.1	139.84	139.826	139.937	0.111								s								790.3	1518.8	714.6	1530.8	614.8	1479.9	551.5	1724.1	454	1597.1	6
												AE	1		GRADUATED		579.9	1646.1	2378	51.6	236.4	136.3	142.548	142.528	142.588	0.06																556.5	1587.5	582.4	1652.9	602	1705.1	608.7	1724	599.5	1726.4	5
												UW	0		GRADUATED		435.5	1760.7	2511.3	93.7	382.3	102.5	142.638	142.618	142.678	0.06																440	1806.9	434.6	1754.6	412.7	1755.4	402	1824.4	398.8	1805.2	5
												AY	1		HIGHSCHOOL		697.4	1591.4	2521.8	86	105.8	204	142.842	142.818	142.868	0.05								m								663.1	1586.1	691.4	1580	697.3	1593	693.7	1598	690.6	1598.9	5
												ER	1		CURRENTLY		502	1388.5	2021.2	118.6	213.6	404.6	143.582	143.562	143.622	0.06																489.9	1392.2	504.2	1388.5	527.3	1395.2	545.6	1420.8	553.7	1441.8	5
												IY	0		CURRENTLY		469.4	1936.6	3045.8	152.1	665.4	513.1	143.782	143.752	143.842	0.09																478.1	1687.1	469.4	1957.9	466.3	2096.2	465.1	2121.2	466.7	2161.6	5
												OW	1		ENROLLED		488.1	1158.6	2521.5	324.2	275.6	342.2	143.96	143.942	144.012	0.07																481.4	1176	509.6	1100.6	541.5	1028.4	559.2	980	575.7	931.9	5
												AA	1		COLLEGE		752	1485.5	2539.5	67.8	162.4	227	144.295	144.272	144.341	0.069																734	1502.5	753.1	1482.1	764.6	1444.7	784	1416.6	794.7	1406.3	5
												IH	0		COLLEGE		477.4	1621.7	3064.9	121.7	422.5	660.5	144.488	144.471	144.522	0.051																482.3	1601.2	476.3	1628.3	466.7	1678	451.6	1709.7	450.9	1791.8	4
												AW	1		NOW		728.9	1561.6	2858.7	109.1	162.7	1031.2	144.722	144.702	144.952	0.25																751.4	1501.7	695.4	1348.1	646	1230.1	573.9	1112.9	580.9	1088.2	5
												AE	1		GRADUATE		596.5	1894.7	2734.8	90.4	359.3	541.6	150.591	150.551	150.671	0.12																594.9	1779.5	595.6	1907.9	579	1956.9	566.9	1966.4	524.7	1887.4	4
												UW	0		GRADUATE		449.1	1201.6	2333.8	68.9	170.2	393.6	150.781	150.751	150.841	0.09																452.9	1292.1	448.7	1195.8	446.6	1183.5	462.1	1183.2	494.9	1251.2	6
												EY	2		GRADUATE		548.6	1617.4	2606	89	255.9	373.5	150.853	150.841	151.001	0.16																513.1	1764.6	491.7	1938.7	505	2146	469.5	2110.8	469.9	2076	5
												AW	1		ACCOUNTING		771.9	1594.4	2347.7	68.6	161.4	453	155.582	155.553	155.693	0.14																769	1598	824.9	1506.4	825.6	1399.1	839.6	1280.1	846	1199.8	5
												AY	1		I		784.5	1395.6	2483.6	62.3	83.5	471	158.621	158.59	158.741	0.151								m								784.5	1394.9	773.3	1415.3	748.7	1465.8	698.4	1486.4	614.7	1448.7	5
												AH	1		LOVE		693.9	1206.9	2520.2	87.1	57.5	625.8	158.834	158.811	158.881	0.07																695.9	1193	691.6	1209	667	1218.2	616.2	1234.4	568.6	1251.4	6
												UW	1		SCHOOL		439.1	911.2	2696.5	89.7	145.6	418.3	164.256	164.233	164.303	0.07																428.4	937.9	441.3	908	452.6	900.3	460.8	898.8	463.9	881.9	5
												AY	1		TIME		760.2	1500.4	3167.5	83.8	72.2	301	164.718	164.623	164.883	0.26								s								739.2	1469.5	759.4	1491.7	736.7	1539.7	709.3	1583.1	682.5	1608.6	5
												ER	1		WORK		526.4	1180.1	2025.6	146.7	140.3	1181.9	165.333	165.306	165.386	0.08																525	1167.1	526.6	1180	521.3	1150.3	533.6	1161.2	551.8	1193.5	5
												AY	1		TIME		754.8	1474.2	2756.4	96.3	140.1	395.2	165.786	165.706	165.866	0.16								s								710	1463.5	736.7	1467.6	754.8	1474.2	744.7	1527.2	710.1	1576.2	6
												AH	0		IT'S		493.5	1659.6	2624.6	120	137	355.5	167.613	167.58	167.68	0.1																488.4	1635.9	488.9	1663	469.6	1694.3	469.3	1663.6	462.6	1613.3	5
												EY	1		PAIN		638.2	2001.4	2553.7	216	189.4	265.3	167.988	167.92	168.06	0.14																556	1853.5	587.2	1923.7	636.8	2007.6	591.8	2068.3	567.8	2041.7	5
												AW	1		NOW		814.3	1674	3271.3	173.5	207.4	278	171.048	171.038	171.198	0.16																817.9	1594.3	807.6	1480.7	763.2	1342.3	759.7	1130.3	703.4	1610.8	4
												AA	1		OBVIOUSLY		730.6	1396.6	2872.4	35.5	99.8	234.8	173.045	173.018	173.098	0.08																727.6	1305.5	730.4	1405.7	716.4	1477.1	669.6	1502.1	616.7	1525.1	5
												IY	0		OBVIOUSLY		539.1	1634.4	2555.6	304.2	567.2	505.8	173.431	173.408	173.478	0.07																526.9	1568.4	546.7	1649.7	594.8	1712.3	738.4	1825.3	806.4	1901.1	5
												ER	1		WORK		495.1	1765.7	2449.9	161.2	207.8	665.9	173.588	173.538	173.687	0.149																459.6	1907	500.2	1752.6	561.2	1685	547.6	1643.4	511.9	1693	5
												AE	1		AT		718.3	1722	2466.1	95.9	152.9	1079.3	174.054	174.007	174.148	0.141																640.3	1769.3	724.9	1714.6	763.5	1654.1	759.3	1606.9	730.7	1576.4	6
												ER	1		WORK		487	1147.8	2090.7	100.9	141	293	176.227	176.2	176.28	0.08																492.4	1117.6	486.5	1152.9	486.3	1215.8	502.5	1317.3	543.7	1336.4	5
												AO	1		MORNING		592.6	936.7	2100.5	107.3	245.2	554.7	176.49	176.46	176.55	0.09																543	937.2	595.7	939.2	614.5	984.1	622.5	1044.3	625.7	1114.9	6
												IH	1		SHIFTS		506.5	1676.3	3148.8	68.3	238.1	627.7	176.893	176.86	176.96	0.1																495.4	1679.2	508.4	1673.4	525	1639.5	534.3	1624.5	516.5	1637.2	4
												OW	1		GO		493.9	1055.5	2168.7	168.6	594.3	915.6	178.339	178.33	178.41	0.08																495.3	1028.9	489.8	1029	474.3	1061.7	450.8	1117.2	423.2	1194.4	6
												AY	1		NIGHT		740.5	1448.7	2759.8	71.7	149.1	865.9	178.951	178.919	179.1	0.181																740.5	1449.2	721.2	1514.1	651.8	1667.9	551.2	1787.5	512.6	1919.3	5
												AO	1		SORTA		463.8	1123.7	2365.4	77.5	237.2	326.7	179.86	179.837	179.907	0.07																418	1222.6	467.2	1111.7	481.8	1121	503.9	1144.7	525.4	1191.4	6
												UH	1		HOOKEY		621.9	1107.3	2906.8	89.3	102.8	310	180.6	180.576	180.647	0.071																628.9	1099.6	620.9	1108	603.8	1113.2	590.5	1131.1	789.3	1498.3	5
												IY	0		HOOKEY		410.7	2273.2	3018.5	206.7	135.1	343.2	180.8	180.737	180.927	0.19																406.1	2323.8	409.9	2266	398.3	2281.3	388.4	2216.7	474.4	2138.9	4
												AH	0		A		582.4	1877.3	2370.7	80.8	237.7	740.6	181.15	181.126	181.197	0.071																538.6	1889.4	586.9	1876.1	630	1823.4	668.4	1744.4	678.8	1631.6	6
												AA	1		LOT		743.2	1313.1	3152.7	107.3	194.2	185.8	181.387	181.357	181.447	0.09																735.5	1255.7	744.4	1317.9	749.4	1377	751.5	1424.6	735.4	1466.9	4
												AH	0		OF		543.7	1315	2347.7	112.5	81.8	389.9	181.494	181.477	181.527	0.05																531.1	1345.3	543.7	1315	559.4	1242.2	560.9	1169.9	544.2	1103.8	5
												ER	1		WORK		490.9	1300.9	1835.8	92.8	103.4	426.6	181.67	181.646	181.717	0.071																506.4	1258.2	488.6	1306	465.9	1367.7	460.4	1452	484	1545.3	6
												UW	1		DO		482.6	1528.5	2665	49.8	217	381.6	181.944	181.937	182.037	0.1																482.2	1490.5	477.9	1450.9	475.9	1408.4	478	1433.3	479.6	1486.1	5
												AY	1		TIME		791.8	1628.5	2644.9	95	104.8	265.7	191.771	191.703	191.843	0.14								s								756.1	1583.7	777.2	1597.6	791.5	1630.2	754.4	1677.5	705.9	1747.2	5
												AO	1		OFF		770.6	1198.4	3141.6	66.4	301.3	187.9	191.986	191.923	192.112	0.189																750.7	1137.7	774.4	1208.7	792.4	1174.8	787.1	1189.7	745.9	1099.3	5
												EH	1		ANYTHING		754.9	1840.7	2852.4	203.4	214.8	596.3	193.561	193.534	193.614	0.08																709.5	1812.7	757.5	1839.5	754	1810.8	742.9	1809.3	703.2	1811.8	5
												IY	0		ANYTHING		489.9	1906.2	2615	114.3	271.8	336.6	193.674	193.654	193.714	0.06																506.2	1907.7	487.9	1904.7	477.9	1891.8	474.9	1901.1	466	1946.2	5
												AW	1		OUTDOORS		688.4	1488.9	2159.7	188.9	243.1	829.3	193.891	193.864	193.973	0.109																677.9	1504.6	706.5	1459.6	723.5	1387.6	667.3	1338.4	579.7	1316.8	6
												AO	1		OUTDOORS		509.8	1052	2430.7	80.8	126.4	208.8	194.103	194.063	194.183	0.12																478.5	1232.6	512.8	1033.8	521	923	530.9	921.1	546.9	1050.7	6
												AH	1		HUNTING		727.3	1190.5	2025.9	128	72	1467.8	195.015	194.988	195.068	0.08																716.7	1165.6	727.3	1193.7	723.3	1255.1	714	1349.6	666.3	1437	6
												IH	1		FISHING		526.2	1610.1	2505.5	79.7	304	329.6	195.415	195.398	195.448	0.05																523.3	1596.2	526.2	1610.1	526.2	1648.3	520.5	1699	512.5	1722.5	6
												AH	0		FISHING		641.5	1789.9	2578.7	183.4	199.8	471.7	195.585	195.568	195.618	0.05																635.4	1787.1	641.5	1789.9	646.6	1786.3	655.6	1782.3	658.8	1767.5	6
												EH	1		ANYTHING		752	1854.1	2764.7	250.7	422.8	728.6	196.36	196.343	196.393	0.05																785.5	1890.2	752	1854.1	698.4	1814.2	697	1803.7	689.3	1803.9	5
												IY	0		ANYTHING		532.4	1898.1	2767.5	135	256.9	550.5	196.45	196.423	196.503	0.08																571.6	1935.5	529.2	1892.7	513	1803.8	688.4	1864.9	789.3	1874.5	5
												AA	1		NOT		805.4	1494.3	2382.8	55.4	115.6	571.1	196.87	196.843	196.923	0.08																790.2	1493.8	805.7	1494.7	808.9	1499.8	801.9	1512.3	777.8	1528.2	5
												AH	1		STUCK		624.9	1445.3	2537.9	79.5	325.3	858.2	197.11	197.083	197.163	0.08																552.4	1508.5	631.9	1444.3	685.1	1444.1	704.8	1417.7	699.8	1422.5	5
												AY	2		INSIDE		783.7	1616.2	2574.2	34.2	143.9	295	197.478	197.422	197.573	0.151								s								718.8	1600.3	782.9	1608.9	761.5	1677.8	740.3	1752.7	698.6	1765.8	5
												AY	1		I'M		770.8	1467.4	2245.8	95.4	167.7	414	197.633	197.613	197.672	0.059								m								765.2	1522	770.7	1460.7	762.5	1401.6	723.3	1354.6	652.3	1347.8	6
												AE	1		HAPPY		724.3	1774.1	2507.5	109.7	256.1	497.8	197.83	197.793	197.903	0.11																741.7	1827.1	720.7	1762.8	714.9	1674.5	712.7	1648.1	682.5	1657.4	6
												IY	0		HAPPY		631.6	1531.5	2331.1	514.2	428.5	400.1	198.013	197.993	198.053	0.06																611.6	1562.1	631.5	1525.4	585.7	1493.6	598.6	1418.5	622.5	1419.4	6
												AH	1		COMING		680.5	1389.2	2594.9	75.5	162.3	653.6	199.235	199.208	199.289	0.081																598.8	1407.1	687.2	1390	741.2	1327.7	721.1	1248	640.8	1219.9	6
												IH	1		HERE		494	2072.2	2809.4	148.1	80.4	140.2	199.466	199.429	199.539	0.11																491.5	2112	495.2	2069.2	515.5	2059	525.6	2019.3	570.2	1940.5	4
												ER	1		WORKING		510.4	1276	3335.3	177	127.2	1150.2	199.805	199.778	199.859	0.081																537.9	1245	509.3	1280.3	519.6	1426.2	657.5	1616.3	936.8	1980.9	4
												AO	1		OFFICE		804.1	1143.3	2164	49.5	111	2340.4	200.262	200.199	200.389	0.19																804.5	1214.7	802.4	1133.6	816.7	1147.3	814.2	1155.5	788.1	1181.4	6
												AH	0		OFFICE		474.2	1694.8	2673.6	53.8	325.6	977.5	200.519	200.479	200.598	0.119																476.5	1460.7	477.4	1709	495	1696.6	505.2	1639.6	624.7	1749.5	5
												AE	1		THAT'S		607.7	1737.3	3344.4	69.1	286.2	874.8	200.745	200.709	200.818	0.109																595.9	1771.5	609.4	1736.8	635.5	1748.6	641.9	1765.2	599	1795.3	4
												AO	1		TORTURE		495.9	1109.3	2326.3	124	99	227.6	202.149	202.122	202.202	0.08																477	1132.8	496.2	1108.3	497.4	1101.1	493.8	1134.3	494.7	1207.5	6
												ER	0		TORTURE		469.8	1675.2	2322	264.7	300.2	1214.5	202.365	202.342	202.412	0.07																473.7	1674.3	465.1	1665.4	574.5	1689	828.8	1813.3	1042.4	2068.8	5
												IY	1		ME		550.7	1887.1	2746	290.3	210.2	3168.8	202.645	202.622	202.691	0.069																597	1893.1	547.7	1883.1	568.6	1869	633.8	1905.8	638.6	1910.5	5
												OW	1		KNOW		698.8	1503.4	2531.7	56.5	128.1	450.3	206.596	206.566	206.766	0.2																706.6	1444.5	716.6	1328.3	716.3	1281.6	719.3	1160.7	671.1	1147.3	5
												IH	0		EXACTLY		478	2039.5	2848.6	93.7	310.3	1197	208.657	208.64	208.69	0.05																477.2	1997.3	478	2039.5	482.6	2105.2	483.9	2087.8	484.5	2049.1	4
												AE	1		EXACTLY		602.1	1708.8	2358	63	175.2	240	208.837	208.79	208.93	0.14																539.1	1704.8	605.4	1707.4	604.5	1742.7	603.7	1785.6	568.3	1796.5	5
												AY	1		KIND		711	1920.5	2516.1	86	343.2	1285.3	210.647	210.618	210.678	0.06								m								682.1	1911.2	703.9	1933.5	711	1920.5	705.4	1864.9	691.4	1798.6	4
												AH	1		OF		509.6	1274.1	2330.2	100.8	96.8	207.1	210.775	210.758	210.808	0.05																501.8	1270.9	509.6	1274.1	523.6	1278.8	529.5	1285	523.9	1287.2	5
												EH	1		MESSED		711.5	1567.8	2410.5	84.6	253.2	896.7	210.968	210.948	211.008	0.06																705.2	1538.7	711.9	1573.6	709.6	1567.3	686.8	1514.4	670.8	1454.1	5
												AH	1		UP		532.5	1453.9	2516.3	55.4	190.6	573.7	211.154	211.128	211.207	0.079																501.7	1465.2	538.1	1447.9	557.8	1384.5	549.1	1290.2	548.6	1300.6	5
												EY	1		WAY		667.4	1687.1	2447	63.1	215.2	394.9	211.477	211.347	211.608	0.261																553.9	1659.5	582.3	1717.9	668.1	1688.4	631.6	1813.5	546.9	1855.9	5
												UW	1		INTO		445.7	1459.9	2470.9	67.6	169	162.5	212.725	212.718	212.798	0.08																451.7	1440.1	464.6	1379.3	471.3	1306.7	470.9	1257.5	470.8	1247.7	5
												AH	0		ACCOUNTING		453.5	1271.7	2376.5	31.2	157.3	154.2	212.815	212.798	212.848	0.05																458.5	1266.2	453.5	1271.7	443.5	1336.4	432	1442.9	432	1527.9	5
												AW	1		ACCOUNTING		730.8	1564	2665.9	80.2	301.1	1275.6	212.935	212.917	213.098	0.181																731.5	1560	737	1455	730.3	1322.5	703.9	1193.9	693.9	1167.5	5
												IH	0		ACCOUNTING		581.5	1801	3320.4	237.1	359.1	945.4	213.158	213.138	213.197	0.059																566.4	1651.3	583.1	1821.7	588.1	1946.5	587.4	2008.7	580.2	2022.8	4
												AE	1		AND		652.3	2009.6	2841.8	171	110.8	628.8	213.337	213.297	213.418	0.121																661.7	2051.6	650.7	2001.8	643	1947.1	635.3	1904.9	647.6	1847.7	5
												EY	1		THEY		500.3	1815.5	2586.1	34.3	130.4	458.1	214.117	214.104	214.154	0.05																500.3	1815.5	496.6	1830.1	489.9	1857.3	479	1856.8	469.8	1790.7	5
												IY	1		ME		478.7	1921.7	2838.4	237.9	635.7	224.7	214.434	214.414	214.474	0.06																478.7	1877.3	478.3	1928.5	472.5	1973.4	482.5	1948.6	502.2	1941	5
												AH	1		THE		565.2	1476	2571.6	120	109.8	2169.8	214.999	214.959	215.079	0.12																522	1462	568.1	1477.5	586.2	1487	573.8	1477.7	571.3	1475.9	6
												AW	1		ACCOUNTING		759.3	1549.5	2635.8	65.5	282	774.4	215.299	215.279	215.369	0.09																756.3	1551.6	784.3	1509.3	783.6	1429.8	765.2	1378.3	736.8	1337.5	5
												AO	1		OFFICES		776	1340.5	1724.2	59.9	103.4	1363.7	215.546	215.509	215.619	0.11																761.7	1357.3	778	1338.6	804.9	1292.5	802.3	1257.6	759.5	1224.9	6
												IH	1		HERE		509.1	1932.8	2579.8	88.5	223.2	267.2	215.986	215.929	216.099	0.17																501.2	1970.5	509.5	1928.5	512.7	1856.5	505.2	1811.8	507	1790.9	5
												AO	1		SORTA		502.2	1062.5	2283.8	85.4	166.8	511.1	217.901	217.871	217.961	0.09																487.3	1157.3	502.4	1060.1	502.7	1045.6	514.5	1089.7	516.1	1160.7	6
												AH	0		SORTA		537.1	1426.1	2689.4	65.5	165.6	889.3	218.134	218.111	218.181	0.07																555	1441.4	531	1419.4	501.9	1442.2	455	1552.3	630.8	1739.3	5
												AE	0		TRANSPIRED		614.7	1891.4	2625.5	140.9	160.7	316	218.649	218.626	218.696	0.07																604.8	1850.5	614.3	1898.4	606.6	1908.3	601.7	1902.9	598.3	1888.8	5
												AY	1		TRANSPIRED		600.2	1483.9	2315.7	122.3	91.1	213.3	218.894	218.856	218.946	0.09								s								585.3	1313.8	598.1	1436.4	596.7	1533.7	564.8	1617.1	533.9	1667.2	5
												ER	0		TRANSPIRED		495.5	1684.9	2074.6	107.4	159.8	269.3	218.976	218.946	219.036	0.09																505.9	1699.7	495	1683	493.2	1662.5	486	1688.7	471.4	1744.9	5
												AE	1		AFTER		597.9	1666.5	2709.1	78.3	123.1	570.5	219.098	219.065	219.165	0.1																595.3	1694.5	597.2	1660.8	603	1619.3	604	1584.4	573.5	1569.3	5
												ER	0		AFTER		466.4	1487.2	2755.5	68.2	257.6	302.3	219.272	219.246	219.325	0.079																465.8	1568.3	468.4	1473.8	470.2	1464.3	461.1	1476.3	444	1482.4	5
												AE	1		THAT		569.2	1631.9	2642.6	108.3	135.4	180.2	219.426	219.376	219.526	0.15																559.6	1624.2	568.2	1636.5	562.1	1658.6	585	1646.8	593.7	1581.8	5
												AE	1		THAT		609.6	1802.1	2278.7	43.5	81.2	1424	225.783	225.723	225.903	0.18																592.8	1766.9	610.4	1808.1	603.8	1775.5	590.4	1681.8	574.3	1766.3	6
												EH	1		THERE'S		505.4	1822.3	2822.2	147.7	147.8	257.4	226.012	225.982	226.073	0.091																515.7	1815	502.2	1823.9	477.5	1823	465.8	1834.7	462.9	1858.9	4
												AH	0		A		467	1253	2439.4	85.6	230.8	438	226.193	226.173	226.232	0.059																458	1328.4	467.8	1243.9	465.6	1172.2	459.2	1089	457.4	1035	6
												AA	1		LOT		728.3	1382.8	2600.2	57.9	78.5	250.4	226.356	226.313	226.443	0.13																727.9	1350.7	728.5	1389.2	730.2	1438.7	722.8	1474.3	704.5	1478.1	5
