age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AY	1		LIVE		672	1525	3392.2	153	120.6	162.2	49.534	49.547	49.697	0.15								s								655.2	1536.6	656.2	1653.4	660	1690.5	666.2	1690	648.2	1680.2	4
												OW	1		OVER		676.8	1024	2666.6	52.2	100.4	526.1	50.036	49.997	50.137	0.14																718.7	1051.3	672.4	1017.8	608.6	1049	589.4	1052.5	583.3	1018.1	6
												ER	0		OVER		699.1	1718.8	2175.7	83.6	180.9	317.8	50.357	50.267	50.537	0.27																686.4	1613.5	700.6	1713.9	698.3	1707.9	689.5	1701.7	721.4	1638.7	6
												AH	1		CULVER		791	1266.1	2394.2	159.9	96.7	1070.8	51.786	51.753	51.853	0.1																798	1296.2	793.6	1262.2	798.7	1250.5	782.9	1248.1	750.2	1238.6	6
												AE	1		AVE		748.6	2029.8	3056.7	312.5	150.3	588.1	52.053	52.003	52.153	0.15																755.6	1998.9	746.4	2031.8	755.2	2054.7	777.7	2078	794.9	2027.4	4
												EH	1		WENT		703.7	1593	2705.2	108.3	127.7	604.2	57.285	57.268	57.318	0.05																706.1	1556.3	703.7	1593	699	1663.8	687.6	1708.3	666.8	1736.1	5
												IY	0		ALBANY		612	2010.7	3145.7	294.8	927.2	570.5	57.708	57.678	57.767	0.089																600	2204.7	610.4	1983.4	586.3	1862.3	1104.5	2647.3	973.7	2482.8	5
												AY	1		I		712.8	1708.3	2006.2	192.4	192.6	687.2	59.802	59.801	59.851	0.05																708.9	1855.9	694.7	1958.2	671.3	2074.5	643.4	2134.5	618.6	2153.3	6
												AA	1		PROCTOR		870.5	1669.4	2564.4	59.2	198.4	383.4	60.124	60.101	60.171	0.07																852	1676.3	872.3	1668.5	872.7	1683.1	870.2	1707.8	865.8	1720	5
												IH	1		STILL		749.3	1637.2	3311.1	66.9	206.6	819.5	60.624	60.591	60.691	0.1																739.2	1677.1	750.7	1628.4	752.5	1536.6	749.7	1433.8	701	1332.3	5
												AE	1		GRADUATE		681.5	1991	2828.7	121	210.4	289.1	61.111	61.078	61.178	0.1																666.4	2006.5	683	1989.6	677.1	1980.8	640.2	1991.2	609.7	2013.3	5
												EY	2		GRADUATE		648.6	2011.9	2767	313.6	324.2	342.8	61.318	61.288	61.348	0.06																648.6	2011.9	638.8	2058.8	640.1	2119.2	646.5	2162.6	648.5	2195.1	4
												ER	1		NURSING		643.5	1736.8	2234.3	73.8	214.7	284.1	69.942	69.909	70.009	0.1																648.7	1756.4	642.3	1735.2	632.3	1687.5	591.3	1303.3	516.6	1552.8	6
												AY	1		I		745.4	2399.7	3189.5	131	134.7	297.5	72.511	72.489	72.659	0.17								s								740.4	2378.7	733	2419.6	712.6	2453.2	649.4	2575.8	497.8	2716.4	4
												IY	1		EITHER		599.5	2739	3205.2	466.4	305.4	313.8	72.689	72.659	72.749	0.09																667.7	2846.5	592.7	2726.1	552.7	2599.9	505.2	2374	440.9	2077.6	4
												IY	0		BE		487.4	2631.3	3042.1	275.5	505.5	612.6	73.102	73.078	73.149	0.071																498.3	2486.5	484.6	2633.7	464.1	2664.2	458.1	2671.8	487.8	2632.5	5
												IY	2		NEONATAL		504.1	2789.9	3190.8	108.7	97.6	1148.3	73.339	73.299	73.419	0.12																492.9	2516.4	504	2791.3	500.3	2384.7	513	2078	560.2	2079	6
